v1,tp,fp,tn,fn,prec,rec,f1,n,noise_vars,cor_vars,linear_vars,minority_size,iter
adaboost_under,140,6299,5901,77,0.0217425066004038,0.645161290322581,0.0420673076923077,41387,6,5,46,0.0186773624568101,151
adaboost_over,0,2,12198,217,0,0,NaN,41387,6,5,46,0.0186773624568101,151
adaboost_smote,62,2583,9617,155,0.0234404536862004,0.285714285714286,0.0433263452131377,41387,6,5,46,0.0186773624568101,151
adaboost_none,1,2,12198,216,0.333333333333333,0.00460829493087558,0.00909090909090909,41387,6,5,46,0.0186773624568101,151
xgboost_under,133,5104,7096,84,0.0253962192094711,0.612903225806452,0.0487715438210488,41387,6,5,46,0.0186773624568101,151
xgboost_over,49,1597,10603,168,0.0297691373025516,0.225806451612903,0.0526033279656468,41387,6,5,46,0.0186773624568101,151
xgboost_smote,67,2294,9906,150,0.0283778060144007,0.308755760368664,0.051978277734678,41387,6,5,46,0.0186773624568101,151
xgboost_none,0,0,12200,217,NaN,0,NaN,41387,6,5,46,0.0186773624568101,151
randomforest_under,140,4760,7440,77,0.0285714285714286,0.645161290322581,0.0547195622435021,41387,6,5,46,0.0186773624568101,151
randomforest_over,0,0,12200,217,NaN,0,NaN,41387,6,5,46,0.0186773624568101,151
randomforest_smote,11,457,11743,206,0.0235042735042735,0.0506912442396313,0.0321167883211679,41387,6,5,46,0.0186773624568101,151
randomforest_none,0,0,12200,217,NaN,0,NaN,41387,6,5,46,0.0186773624568101,151
c50_under,135,6390,5810,82,0.0206896551724138,0.622119815668203,0.0400474636606348,41387,6,5,46,0.0186773624568101,151
c50_over,8,319,11881,209,0.0244648318042813,0.0368663594470046,0.0294117647058824,41387,6,5,46,0.0186773624568101,151
c50_smote,64,3215,8985,153,0.0195181457761513,0.294930875576037,0.0366132723112128,41387,6,5,46,0.0186773624568101,151
c50_none,0,0,12200,217,NaN,0,NaN,41387,6,5,46,0.0186773624568101,151
adaboost_under,153,5818,5046,71,0.0256238486015743,0.683035714285714,0.0493946731234867,36960,4,4,49,0.020995670995671,152
adaboost_over,0,0,10864,224,NaN,0,NaN,36960,4,4,49,0.020995670995671,152
adaboost_smote,68,2297,8567,156,0.0287526427061311,0.303571428571429,0.0525299343375821,36960,4,4,49,0.020995670995671,152
adaboost_none,1,4,10860,223,0.2,0.00446428571428571,0.00873362445414847,36960,4,4,49,0.020995670995671,152
xgboost_under,122,4470,6394,102,0.0265679442508711,0.544642857142857,0.0506644518272425,36960,4,4,49,0.020995670995671,152
xgboost_over,44,1513,9351,180,0.0282594733461785,0.196428571428571,0.0494104435710275,36960,4,4,49,0.020995670995671,152
xgboost_smote,72,2149,8715,152,0.0324178298063935,0.321428571428571,0.0588957055214724,36960,4,4,49,0.020995670995671,152
xgboost_none,0,0,10864,224,NaN,0,NaN,36960,4,4,49,0.020995670995671,152
randomforest_under,132,4387,6477,92,0.029210002212879,0.589285714285714,0.0556609740670462,36960,4,4,49,0.020995670995671,152
randomforest_over,0,0,10864,224,NaN,0,NaN,36960,4,4,49,0.020995670995671,152
randomforest_smote,24,429,10435,200,0.0529801324503311,0.107142857142857,0.0709010339734121,36960,4,4,49,0.020995670995671,152
randomforest_none,0,0,10864,224,NaN,0,NaN,36960,4,4,49,0.020995670995671,152
c50_under,122,4480,6384,102,0.0265102129508909,0.544642857142857,0.0505594695399917,36960,4,4,49,0.020995670995671,152
c50_over,10,378,10486,214,0.0257731958762887,0.0446428571428571,0.0326797385620915,36960,4,4,49,0.020995670995671,152
c50_smote,79,3343,7521,145,0.0230859146697838,0.352678571428571,0.0433351618211739,36960,4,4,49,0.020995670995671,152
c50_none,0,0,10864,224,NaN,0,NaN,36960,4,4,49,0.020995670995671,152
adaboost_under,155,8370,6898,62,0.0181818181818182,0.714285714285714,0.0354609929078014,51615,4,4,39,0.0134457037682844,153
adaboost_over,0,2,15266,217,0,0,NaN,51615,4,4,39,0.0134457037682844,153
adaboost_smote,65,3180,12088,152,0.0200308166409861,0.299539170506912,0.0375505488157135,51615,4,4,39,0.0134457037682844,153
adaboost_none,0,1,15267,217,0,0,NaN,51615,4,4,39,0.0134457037682844,153
xgboost_under,117,6449,8819,100,0.0178190679256777,0.539170506912442,0.0344980097302079,51615,4,4,39,0.0134457037682844,153
xgboost_over,40,1806,13462,177,0.0216684723726977,0.184331797235023,0.0387784779447407,51615,4,4,39,0.0134457037682844,153
xgboost_smote,64,2840,12428,153,0.0220385674931129,0.294930875576037,0.0410124959948734,51615,4,4,39,0.0134457037682844,153
xgboost_none,0,0,15268,217,NaN,0,NaN,51615,4,4,39,0.0134457037682844,153
randomforest_under,146,6341,8927,71,0.0225065515646678,0.672811059907834,0.0435560859188544,51615,4,4,39,0.0134457037682844,153
randomforest_over,0,0,15268,217,NaN,0,NaN,51615,4,4,39,0.0134457037682844,153
randomforest_smote,18,628,14640,199,0.0278637770897833,0.0829493087557604,0.0417149478563152,51615,4,4,39,0.0134457037682844,153
randomforest_none,0,0,15268,217,NaN,0,NaN,51615,4,4,39,0.0134457037682844,153
c50_under,153,10840,4428,64,0.0139179477849541,0.705069124423963,0.0272970561998216,51615,4,4,39,0.0134457037682844,153
c50_over,6,303,14965,211,0.0194174757281553,0.0276497695852535,0.0228136882129278,51615,4,4,39,0.0134457037682844,153
c50_smote,86,5045,10223,131,0.016760865328396,0.3963133640553,0.0321615557217651,51615,4,4,39,0.0134457037682844,153
c50_none,0,0,15268,217,NaN,0,NaN,51615,4,4,39,0.0134457037682844,153
adaboost_under,71,6858,5479,29,0.0102467888584211,0.71,0.0202020202020202,41454,3,3,51,0.00718869107926859,154
adaboost_over,0,1,12336,100,0,0,NaN,41454,3,3,51,0.00718869107926859,154
adaboost_smote,34,2580,9757,66,0.0130068859984698,0.34,0.0250552689756817,41454,3,3,51,0.00718869107926859,154
adaboost_none,0,1,12336,100,0,0,NaN,41454,3,3,51,0.00718869107926859,154
xgboost_under,58,5001,7336,42,0.0114647163471042,0.58,0.0224849777088583,41454,3,3,51,0.00718869107926859,154
xgboost_over,11,779,11558,89,0.0139240506329114,0.11,0.0247191011235955,41454,3,3,51,0.00718869107926859,154
