v1,tp,fp,tn,fn,prec,rec,f1,n,noise_vars,cor_vars,linear_vars,minority_size,iter
adaboost_under,144,6788,5160,54,0.0207732256203116,0.727272727272727,0.0403927068723703,40484,4,5,45,0.0145489576128841,201
adaboost_over,0,1,11947,198,0,0,NaN,40484,4,5,45,0.0145489576128841,201
adaboost_smote,52,2417,9531,146,0.02106115836371,0.262626262626263,0.0389951256092988,40484,4,5,45,0.0145489576128841,201
adaboost_none,0,1,11947,198,0,0,NaN,40484,4,5,45,0.0145489576128841,201
xgboost_under,104,5166,6782,94,0.0197343453510436,0.525252525252525,0.0380395025603511,40484,4,5,45,0.0145489576128841,201
xgboost_over,35,1386,10562,163,0.0246305418719212,0.176767676767677,0.0432365657813465,40484,4,5,45,0.0145489576128841,201
xgboost_smote,58,2107,9841,140,0.0267898383371824,0.292929292929293,0.0490901396529835,40484,4,5,45,0.0145489576128841,201
xgboost_none,0,0,11948,198,NaN,0,NaN,40484,4,5,45,0.0145489576128841,201
randomforest_under,123,4703,7245,75,0.0254869457107335,0.621212121212121,0.0489649681528662,40484,4,5,45,0.0145489576128841,201
randomforest_over,0,0,11948,198,NaN,0,NaN,40484,4,5,45,0.0145489576128841,201
randomforest_smote,13,445,11503,185,0.0283842794759825,0.0656565656565657,0.0396341463414634,40484,4,5,45,0.0145489576128841,201
randomforest_none,0,0,11948,198,NaN,0,NaN,40484,4,5,45,0.0145489576128841,201
c50_under,52,2930,9018,146,0.0174379610999329,0.262626262626263,0.0327044025157233,40484,4,5,45,0.0145489576128841,201
c50_over,9,235,11713,189,0.0368852459016393,0.0454545454545455,0.0407239819004525,40484,4,5,45,0.0145489576128841,201
c50_smote,73,3542,8406,125,0.0201936376210235,0.368686868686869,0.038290060319958,40484,4,5,45,0.0145489576128841,201
c50_none,0,0,11948,198,NaN,0,NaN,40484,4,5,45,0.0145489576128841,201
adaboost_under,151,6684,6263,81,0.0220921726408193,0.650862068965517,0.0427338333097495,43928,2,3,45,0.0171189218721544,202
adaboost_over,0,1,12946,232,0,0,NaN,43928,2,3,45,0.0171189218721544,202
adaboost_smote,71,2486,10461,161,0.0277669143527571,0.306034482758621,0.0509143062029401,43928,2,3,45,0.0171189218721544,202
adaboost_none,0,5,12942,232,0,0,NaN,43928,2,3,45,0.0171189218721544,202
xgboost_under,148,5386,7561,84,0.026743765811348,0.637931034482759,0.051335414498786,43928,2,3,45,0.0171189218721544,202
xgboost_over,46,1569,11378,186,0.0284829721362229,0.198275862068966,0.0498105035192204,43928,2,3,45,0.0171189218721544,202
xgboost_smote,73,2196,10751,159,0.0321727633318643,0.314655172413793,0.0583766493402639,43928,2,3,45,0.0171189218721544,202
xgboost_none,0,0,12947,232,NaN,0,NaN,43928,2,3,45,0.0171189218721544,202
randomforest_under,158,5163,7784,74,0.0296936666040218,0.681034482758621,0.056906176841347,43928,2,3,45,0.0171189218721544,202
randomforest_over,0,0,12947,232,NaN,0,NaN,43928,2,3,45,0.0171189218721544,202
randomforest_smote,20,439,12508,212,0.0435729847494553,0.0862068965517241,0.0578871201157742,43928,2,3,45,0.0171189218721544,202
randomforest_none,0,0,12947,232,NaN,0,NaN,43928,2,3,45,0.0171189218721544,202
c50_under,148,6685,6262,84,0.0216595931508854,0.637931034482759,0.0418966737438075,43928,2,3,45,0.0171189218721544,202
c50_over,13,340,12607,219,0.0368271954674221,0.0560344827586207,0.0444444444444444,43928,2,3,45,0.0171189218721544,202
c50_smote,96,3741,9206,136,0.0250195465207193,0.413793103448276,0.0471860407962644,43928,2,3,45,0.0171189218721544,202
c50_none,0,0,12947,232,NaN,0,NaN,43928,2,3,45,0.0171189218721544,202
adaboost_under,133,6871,5793,64,0.0189891490576813,0.6751269035533,0.0369393139841689,42868,4,4,43,0.0166324531118783,203
adaboost_over,0,0,12664,197,NaN,0,NaN,42868,4,4,43,0.0166324531118783,203
adaboost_smote,69,2921,9743,128,0.0230769230769231,0.350253807106599,0.0433009099466583,42868,4,4,43,0.0166324531118783,203
adaboost_none,0,4,12660,197,0,0,NaN,42868,4,4,43,0.0166324531118783,203
xgboost_under,127,5411,7253,70,0.0229324665944384,0.644670050761421,0.0442894507410636,42868,4,4,43,0.0166324531118783,203
xgboost_over,38,1764,10900,159,0.0210876803551609,0.192893401015228,0.0380190095047524,42868,4,4,43,0.0166324531118783,203
xgboost_smote,62,2433,10231,135,0.0248496993987976,0.314720812182741,0.0460624071322437,42868,4,4,43,0.0166324531118783,203
xgboost_none,0,0,12664,197,NaN,0,NaN,42868,4,4,43,0.0166324531118783,203
randomforest_under,130,4932,7732,67,0.0256815487949427,0.65989847715736,0.0494390568549154,42868,4,4,43,0.0166324531118783,203
randomforest_over,0,0,12664,197,NaN,0,NaN,42868,4,4,43,0.0166324531118783,203
randomforest_smote,15,453,12211,182,0.032051282051282,0.0761421319796954,0.0451127819548872,42868,4,4,43,0.0166324531118783,203
randomforest_none,0,0,12664,197,NaN,0,NaN,42868,4,4,43,0.0166324531118783,203
c50_under,104,5969,6695,93,0.017124979417092,0.527918781725888,0.0331738437001595,42868,4,4,43,0.0166324531118783,203
c50_over,4,321,12343,193,0.0123076923076923,0.0203045685279188,0.0153256704980843,42868,4,4,43,0.0166324531118783,203
c50_smote,72,3266,9398,125,0.0215698022768125,0.365482233502538,0.0407355021216407,42868,4,4,43,0.0166324531118783,203
c50_none,0,0,12664,197,NaN,0,NaN,42868,4,4,43,0.0166324531118783,203
adaboost_under,152,7875,6012,66,0.0189360906939081,0.697247706422018,0.0368708308065494,47016,4,4,42,0.0149736259996597,204
adaboost_over,0,1,13886,218,0,0,NaN,47016,4,4,42,0.0149736259996597,204
adaboost_smote,67,3094,10793,151,0.0211958241062955,0.307339449541284,0.0396567031666173,47016,4,4,42,0.0149736259996597,204
adaboost_none,0,1,13886,218,0,0,NaN,47016,4,4,42,0.0149736259996597,204
xgboost_under,134,5741,8146,84,0.0228085106382979,0.614678899082569,0.0439849007057279,47016,4,4,42,0.0149736259996597,204
xgboost_over,43,1919,11968,175,0.0219164118246687,0.197247706422018,0.0394495412844037,47016,4,4,42,0.0149736259996597,204
xgboost_smote,69,2740,11147,149,0.024563901744393,0.31651376146789,0.045589692765114,47016,4,4,42,0.0149736259996597,204
xgboost_none,0,0,13887,218,NaN,0,NaN,47016,4,4,42,0.0149736259996597,204
randomforest_under,143,5787,8100,75,0.024114671163575,0.655963302752294,0.0465191932335719,47016,4,4,42,0.0149736259996597,204
randomforest_over,0,0,13887,218,NaN,0,NaN,47016,4,4,42,0.0149736259996597,204
randomforest_smote,15,568,13319,203,0.0257289879931389,0.0688073394495413,0.0374531835205993,47016,4,4,42,0.0149736259996597,204
randomforest_none,0,0,13887,218,NaN,0,NaN,47016,4,4,42,0.0149736259996597,204
c50_under,155,8461,5426,63,0.0179897864438254,0.711009174311927,0.0350916911931175,47016,4,4,42,0.0149736259996597,204
c50_over,7,291,13596,211,0.023489932885906,0.0321100917431193,0.0271317829457364,47016,4,4,42,0.0149736259996597,204
c50_smote,77,3940,9947,141,0.0191685337316405,0.353211009174312,0.0363636363636364,47016,4,4,42,0.0149736259996597,204
c50_none,0,0,13887,218,NaN,0,NaN,47016,4,4,42,0.0149736259996597,204
adaboost_under,139,6509,6225,72,0.0209085439229844,0.658767772511848,0.0405306896048987,43147,5,5,51,0.015296544371567,205
adaboost_over,0,2,12732,211,0,0,NaN,43147,5,5,51,0.015296544371567,205
adaboost_smote,58,2514,10220,153,0.0225505443234837,0.274881516587678,0.0416816385195832,43147,5,5,51,0.015296544371567,205
adaboost_none,0,0,12734,211,NaN,0,NaN,43147,5,5,51,0.015296544371567,205
xgboost_under,125,5287,7447,86,0.0230968218773097,0.592417061611374,0.0444602525342344,43147,5,5,51,0.015296544371567,205
xgboost_over,42,1617,11117,169,0.0253164556962025,0.199052132701422,0.0449197860962567,43147,5,5,51,0.015296544371567,205
xgboost_smote,51,2280,10454,160,0.0218790218790219,0.241706161137441,0.040125885129819,43147,5,5,51,0.015296544371567,205
xgboost_none,0,0,12734,211,NaN,0,NaN,43147,5,5,51,0.015296544371567,205
randomforest_under,123,5187,7547,88,0.0231638418079096,0.582938388625592,0.0445571454446658,43147,5,5,51,0.015296544371567,205
randomforest_over,0,0,12734,211,NaN,0,NaN,43147,5,5,51,0.015296544371567,205
randomforest_smote,10,352,12382,201,0.0276243093922652,0.0473933649289099,0.0349040139616056,43147,5,5,51,0.015296544371567,205
randomforest_none,0,0,12734,211,NaN,0,NaN,43147,5,5,51,0.015296544371567,205
c50_under,99,4803,7931,112,0.0201958384332925,0.469194312796209,0.0387248190885977,43147,5,5,51,0.015296544371567,205
c50_over,3,291,12443,208,0.0102040816326531,0.014218009478673,0.0118811881188119,43147,5,5,51,0.015296544371567,205
c50_smote,55,3373,9361,156,0.0160443407234539,0.260663507109005,0.030228084638637,43147,5,5,51,0.015296544371567,205
c50_none,0,0,12734,211,NaN,0,NaN,43147,5,5,51,0.015296544371567,205
adaboost_under,113,5485,4791,60,0.0201857806359414,0.653179190751445,0.0391613238606827,34828,3,3,45,0.0170839554381532,206
adaboost_over,0,0,10276,173,NaN,0,NaN,34828,3,3,45,0.0170839554381532,206
