v1,tp,fp,tn,fn,prec,rec,f1,n,noise_vars,cor_vars,linear_vars,minority_size,iter
adaboost_under,48,6595,5984,26,0.0072256510612675,0.648648648648649,0.0142920946851273,42175,4,5,38,0.00649673977474807,301
adaboost_over,0,0,12579,74,NaN,0,NaN,42175,4,5,38,0.00649673977474807,301
adaboost_smote,24,2766,9813,50,0.00860215053763441,0.324324324324324,0.0167597765363128,42175,4,5,38,0.00649673977474807,301
adaboost_none,0,1,12578,74,0,0,NaN,42175,4,5,38,0.00649673977474807,301
xgboost_under,49,5427,7152,25,0.00894813732651571,0.662162162162162,0.0176576576576577,42175,4,5,38,0.00649673977474807,301
xgboost_over,11,1108,11471,63,0.00983020554066131,0.148648648648649,0.0184409052808047,42175,4,5,38,0.00649673977474807,301
xgboost_smote,28,2208,10371,46,0.0125223613595707,0.378378378378378,0.0242424242424242,42175,4,5,38,0.00649673977474807,301
xgboost_none,0,0,12579,74,NaN,0,NaN,42175,4,5,38,0.00649673977474807,301
randomforest_under,38,4979,7600,36,0.00757424755830177,0.513513513513513,0.0149283048516991,42175,4,5,38,0.00649673977474807,301
randomforest_over,0,0,12579,74,NaN,0,NaN,42175,4,5,38,0.00649673977474807,301
randomforest_smote,5,435,12144,69,0.0113636363636364,0.0675675675675676,0.0194552529182879,42175,4,5,38,0.00649673977474807,301
randomforest_none,0,0,12579,74,NaN,0,NaN,42175,4,5,38,0.00649673977474807,301
c50_under,39,5704,6875,35,0.00679087584885948,0.527027027027027,0.0134089736977824,42175,4,5,38,0.00649673977474807,301
c50_over,0,179,12400,74,0,0,NaN,42175,4,5,38,0.00649673977474807,301
c50_smote,24,3889,8690,50,0.00613340148223869,0.324324324324324,0.0120391271632807,42175,4,5,38,0.00649673977474807,301
c50_none,0,0,12579,74,NaN,0,NaN,42175,4,5,38,0.00649673977474807,301
adaboost_under,105,5714,4755,44,0.0180443375150369,0.704697986577181,0.0351876675603217,35391,4,3,46,0.0136757932807776,302
adaboost_over,0,0,10469,149,NaN,0,NaN,35391,4,3,46,0.0136757932807776,302
adaboost_smote,47,2201,8268,102,0.0209074733096085,0.315436241610738,0.0392156862745098,35391,4,3,46,0.0136757932807776,302
adaboost_none,0,0,10469,149,NaN,0,NaN,35391,4,3,46,0.0136757932807776,302
xgboost_under,98,4626,5843,51,0.0207451312447079,0.657718120805369,0.0402216293864149,35391,4,3,46,0.0136757932807776,302
xgboost_over,27,954,9515,122,0.0275229357798165,0.181208053691275,0.047787610619469,35391,4,3,46,0.0136757932807776,302
xgboost_smote,50,1839,8630,99,0.0264690312334569,0.335570469798658,0.0490677134445535,35391,4,3,46,0.0136757932807776,302
xgboost_none,0,0,10469,149,NaN,0,NaN,35391,4,3,46,0.0136757932807776,302
randomforest_under,97,4193,6276,52,0.0226107226107226,0.651006711409396,0.04370353683262,35391,4,3,46,0.0136757932807776,302
randomforest_over,0,0,10469,149,NaN,0,NaN,35391,4,3,46,0.0136757932807776,302
randomforest_smote,10,352,10117,139,0.0276243093922652,0.0671140939597315,0.0391389432485323,35391,4,3,46,0.0136757932807776,302
randomforest_none,0,0,10469,149,NaN,0,NaN,35391,4,3,46,0.0136757932807776,302
c50_under,90,5268,5201,59,0.0167973124300112,0.604026845637584,0.0326856727800981,35391,4,3,46,0.0136757932807776,302
