v1,tp,fp,tn,fn,prec,rec,f1,n,noise_vars,cor_vars,linear_vars,minority_size,iter
adaboost_under,119,6174,5553,65,0.0189098998887653,0.646739130434783,0.036745406824147,39702,4,3,32,0.014231021107249,4
adaboost_over,0,0,11727,184,NaN,0,NaN,39702,4,3,32,0.014231021107249,4
adaboost_smote,52,2466,9261,132,0.0206513105639396,0.282608695652174,0.0384900074019245,39702,4,3,32,0.014231021107249,4
adaboost_none,1,2,11725,183,0.333333333333333,0.00543478260869565,0.0106951871657754,39702,4,3,32,0.014231021107249,4
xgboost_under,110,4874,6853,74,0.0220706260032103,0.597826086956522,0.0425696594427245,39702,4,3,32,0.014231021107249,4
xgboost_over,33,1295,10432,151,0.0248493975903614,0.179347826086957,0.0436507936507936,39702,4,3,32,0.014231021107249,4
xgboost_smote,51,2195,9532,133,0.0227070347284061,0.277173913043478,0.0419753086419753,39702,4,3,32,0.014231021107249,4
xgboost_none,0,0,11727,184,NaN,0,NaN,39702,4,3,32,0.014231021107249,4
randomforest_under,113,4503,7224,71,0.0244800693240901,0.614130434782609,0.0470833333333333,39702,4,3,32,0.014231021107249,4
randomforest_over,0,0,11727,184,NaN,0,NaN,39702,4,3,32,0.014231021107249,4
randomforest_smote,10,573,11154,174,0.0171526586620926,0.0543478260869565,0.0260756192959583,39702,4,3,32,0.014231021107249,4
randomforest_none,0,0,11727,184,NaN,0,NaN,39702,4,3,32,0.014231021107249,4
c50_under,59,2758,8969,125,0.0209442669506567,0.320652173913043,0.0393202265911363,39702,4,3,32,0.014231021107249,4
c50_over,4,259,11468,180,0.0152091254752852,0.0217391304347826,0.0178970917225951,39702,4,3,32,0.014231021107249,4
c50_smote,54,3212,8515,130,0.0165339865278628,0.293478260869565,0.031304347826087,39702,4,3,32,0.014231021107249,4
c50_none,0,0,11727,184,NaN,0,NaN,39702,4,3,32,0.014231021107249,4
adaboost_under,62,5956,5320,37,0.0103024260551678,0.626262626262626,0.020271374856956,37914,4,3,39,0.00915229202932953,5
adaboost_over,0,0,11276,99,NaN,0,NaN,37914,4,3,39,0.00915229202932953,5
adaboost_smote,40,2301,8975,59,0.0170867150790261,0.404040404040404,0.0327868852459016,37914,4,3,39,0.00915229202932953,5
adaboost_none,0,0,11276,99,NaN,0,NaN,37914,4,3,39,0.00915229202932953,5
xgboost_under,52,4389,6887,47,0.0117090745327629,0.525252525252525,0.0229074889867841,37914,4,3,39,0.00915229202932953,5
xgboost_over,17,1070,10206,82,0.015639374425023,0.171717171717172,0.0286677908937605,37914,4,3,39,0.00915229202932953,5
