v1,tp,fp,tn,fn,prec,rec,f1,n,noise_vars,cor_vars,linear_vars,minority_size,iter
adaboost_under,121,6558,5342,61,0.0181164845036682,0.664835164835165,0.0352718262643929,40273,4,3,44,0.0140044198346287,451
adaboost_over,0,0,11900,182,NaN,0,NaN,40273,4,3,44,0.0140044198346287,451
adaboost_smote,53,2404,9496,129,0.0215710215710216,0.291208791208791,0.0401667298219022,40273,4,3,44,0.0140044198346287,451
adaboost_none,0,0,11900,182,NaN,0,NaN,40273,4,3,44,0.0140044198346287,451
xgboost_under,107,5325,6575,75,0.0196980854197349,0.587912087912088,0.0381189882436765,40273,4,3,44,0.0140044198346287,451
xgboost_over,27,1376,10524,155,0.0192444761225944,0.148351648351648,0.0340694006309148,40273,4,3,44,0.0140044198346287,451
xgboost_smote,50,2223,9677,132,0.021997360316762,0.274725274725275,0.0407331975560081,40273,4,3,44,0.0140044198346287,451
xgboost_none,0,0,11900,182,NaN,0,NaN,40273,4,3,44,0.0140044198346287,451
randomforest_under,120,5126,6774,62,0.0228745711017918,0.659340659340659,0.0442151805453206,40273,4,3,44,0.0140044198346287,451
randomforest_over,0,0,11900,182,NaN,0,NaN,40273,4,3,44,0.0140044198346287,451
randomforest_smote,5,404,11496,177,0.0122249388753056,0.0274725274725275,0.0169204737732657,40273,4,3,44,0.0140044198346287,451
randomforest_none,0,0,11900,182,NaN,0,NaN,40273,4,3,44,0.0140044198346287,451
c50_under,60,3041,8859,122,0.0193485972267011,0.32967032967033,0.0365519342065184,40273,4,3,44,0.0140044198346287,451
c50_over,6,207,11693,176,0.028169014084507,0.032967032967033,0.030379746835443,40273,4,3,44,0.0140044198346287,451
c50_smote,57,3275,8625,125,0.0171068427370948,0.313186813186813,0.0324416619237336,40273,4,3,44,0.0140044198346287,451
c50_none,0,0,11900,182,NaN,0,NaN,40273,4,3,44,0.0140044198346287,451
adaboost_under,143,5808,5213,67,0.0240295748613678,0.680952380952381,0.0464210355461776,37436,4,5,40,0.0165883107169569,452
adaboost_over,0,1,11020,210,0,0,NaN,37436,4,5,40,0.0165883107169569,452
adaboost_smote,76,2230,8791,134,0.0329575021682567,0.361904761904762,0.0604133545310016,37436,4,5,40,0.0165883107169569,452
adaboost_none,0,1,11020,210,0,0,NaN,37436,4,5,40,0.0165883107169569,452
xgboost_under,129,4547,6474,81,0.0275876817792985,0.614285714285714,0.0528039295947605,37436,4,5,40,0.0165883107169569,452
xgboost_over,46,1260,9761,164,0.0352220520673813,0.219047619047619,0.0606860158311346,37436,4,5,40,0.0165883107169569,452
xgboost_smote,69,2174,8847,141,0.0307623718234507,0.328571428571429,0.0562576437015899,37436,4,5,40,0.0165883107169569,452
xgboost_none,0,0,11021,210,NaN,0,NaN,37436,4,5,40,0.0165883107169569,452
randomforest_under,126,4429,6592,84,0.0276619099890231,0.6,0.0528856243441763,37436,4,5,40,0.0165883107169569,452
randomforest_over,0,0,11021,210,NaN,0,NaN,37436,4,5,40,0.0165883107169569,452
randomforest_smote,19,549,10472,191,0.0334507042253521,0.0904761904761905,0.0488431876606684,37436,4,5,40,0.0165883107169569,452
randomforest_none,0,0,11021,210,NaN,0,NaN,37436,4,5,40,0.0165883107169569,452
c50_under,119,5039,5982,91,0.0230709577355564,0.566666666666667,0.0443368107302533,37436,4,5,40,0.0165883107169569,452
c50_over,5,255,10766,205,0.0192307692307692,0.0238095238095238,0.0212765957446809,37436,4,5,40,0.0165883107169569,452
c50_smote,83,3511,7510,127,0.0230940456316082,0.395238095238095,0.0436382754994742,37436,4,5,40,0.0165883107169569,452
c50_none,0,0,11021,210,NaN,0,NaN,37436,4,5,40,0.0165883107169569,452
adaboost_under,104,5810,4309,46,0.0175853905985796,0.693333333333333,0.0343007915567282,34230,4,4,46,0.0149576394975168,453
adaboost_over,1,1,10118,149,0.5,0.00666666666666667,0.0131578947368421,34230,4,4,46,0.0149576394975168,453
adaboost_smote,35,2136,7983,115,0.0161216029479503,0.233333333333333,0.03015941404567,34230,4,4,46,0.0149576394975168,453
adaboost_none,0,2,10117,150,0,0,NaN,34230,4,4,46,0.0149576394975168,453
xgboost_under,91,4492,5627,59,0.019855989526511,0.606666666666667,0.0384534122121276,34230,4,4,46,0.0149576394975168,453
xgboost_over,26,1265,8854,124,0.0201394268009295,0.173333333333333,0.0360860513532269,34230,4,4,46,0.0149576394975168,453
xgboost_smote,30,1861,8258,120,0.0158646218931782,0.2,0.0293973542381186,34230,4,4,46,0.0149576394975168,453
xgboost_none,0,0,10119,150,NaN,0,NaN,34230,4,4,46,0.0149576394975168,453
randomforest_under,89,4307,5812,61,0.02024567788899,0.593333333333333,0.0391553013638363,34230,4,4,46,0.0149576394975168,453
randomforest_over,0,0,10119,150,NaN,0,NaN,34230,4,4,46,0.0149576394975168,453
randomforest_smote,12,329,9790,138,0.0351906158357771,0.08,0.0488798370672098,34230,4,4,46,0.0149576394975168,453
randomforest_none,0,0,10119,150,NaN,0,NaN,34230,4,4,46,0.0149576394975168,453
c50_under,81,5087,5032,69,0.0156733746130031,0.54,0.0304625799172621,34230,4,4,46,0.0149576394975168,453
c50_over,1,238,9881,149,0.00418410041841004,0.00666666666666667,0.0051413881748072,34230,4,4,46,0.0149576394975168,453
c50_smote,52,2867,7252,98,0.0178143199725934,0.346666666666667,0.0338872596937113,34230,4,4,46,0.0149576394975168,453
c50_none,0,0,10119,150,NaN,0,NaN,34230,4,4,46,0.0149576394975168,453
adaboost_under,104,5483,4545,54,0.0186146411311974,0.658227848101266,0.0362053959965187,33951,2,3,43,0.0152572825542694,454
adaboost_over,0,0,10028,158,NaN,0,NaN,33951,2,3,43,0.0152572825542694,454
adaboost_smote,44,2268,7760,114,0.0190311418685121,0.278481012658228,0.0356275303643725,33951,2,3,43,0.0152572825542694,454
adaboost_none,0,2,10026,158,0,0,NaN,33951,2,3,43,0.0152572825542694,454
xgboost_under,81,3962,6066,77,0.0200346277516696,0.512658227848101,0.0385622470840276,33951,2,3,43,0.0152572825542694,454
xgboost_over,16,956,9072,142,0.0164609053497942,0.10126582278481,0.0283185840707965,33951,2,3,43,0.0152572825542694,454
xgboost_smote,35,1814,8214,123,0.0189291508923743,0.221518987341772,0.0348779272546089,33951,2,3,43,0.0152572825542694,454
xgboost_none,0,0,10028,158,NaN,0,NaN,33951,2,3,43,0.0152572825542694,454
randomforest_under,92,4188,5840,66,0.0214953271028037,0.582278481012658,0.0414601171698964,33951,2,3,43,0.0152572825542694,454
randomforest_over,0,0,10028,158,NaN,0,NaN,33951,2,3,43,0.0152572825542694,454
randomforest_smote,12,355,9673,146,0.0326975476839237,0.0759493670886076,0.0457142857142857,33951,2,3,43,0.0152572825542694,454
randomforest_none,0,0,10028,158,NaN,0,NaN,33951,2,3,43,0.0152572825542694,454
c50_under,82,4525,5503,76,0.017799001519427,0.518987341772152,0.0344176285414481,33951,2,3,43,0.0152572825542694,454
c50_over,3,240,9788,155,0.0123456790123457,0.0189873417721519,0.0149625935162095,33951,2,3,43,0.0152572825542694,454
c50_smote,47,2913,7115,111,0.0158783783783784,0.29746835443038,0.0301475304682489,33951,2,3,43,0.0152572825542694,454
c50_none,0,0,10028,158,NaN,0,NaN,33951,2,3,43,0.0152572825542694,454
adaboost_under,104,5511,4850,66,0.0185218165627783,0.611764705882353,0.0359550561797753,35103,5,5,47,0.0152123750106828,455
adaboost_over,0,2,10359,170,0,0,NaN,35103,5,5,47,0.0152123750106828,455
adaboost_smote,55,2185,8176,115,0.0245535714285714,0.323529411764706,0.0456431535269709,35103,5,5,47,0.0152123750106828,455
adaboost_none,0,2,10359,170,0,0,NaN,35103,5,5,47,0.0152123750106828,455
xgboost_under,89,4224,6137,81,0.0206352886621841,0.523529411764706,0.039705554316306,35103,5,5,47,0.0152123750106828,455
xgboost_over,34,1102,9259,136,0.0299295774647887,0.2,0.0520673813169985,35103,5,5,47,0.0152123750106828,455
xgboost_smote,42,1853,8508,128,0.0221635883905013,0.247058823529412,0.0406779661016949,35103,5,5,47,0.0152123750106828,455
xgboost_none,0,0,10361,170,NaN,0,NaN,35103,5,5,47,0.0152123750106828,455
randomforest_under,102,4299,6062,68,0.0231765507839127,0.6,0.0446291839859987,35103,5,5,47,0.0152123750106828,455
randomforest_over,0,0,10361,170,NaN,0,NaN,35103,5,5,47,0.0152123750106828,455
randomforest_smote,15,328,10033,155,0.043731778425656,0.0882352941176471,0.0584795321637427,35103,5,5,47,0.0152123750106828,455
randomforest_none,0,0,10361,170,NaN,0,NaN,35103,5,5,47,0.0152123750106828,455
c50_under,81,4018,6343,89,0.0197609172969017,0.476470588235294,0.0379479971890372,35103,5,5,47,0.0152123750106828,455
c50_over,4,234,10127,166,0.0168067226890756,0.0235294117647059,0.0196078431372549,35103,5,5,47,0.0152123750106828,455
c50_smote,59,2888,7473,111,0.0200203596878181,0.347058823529412,0.0378569136990696,35103,5,5,47,0.0152123750106828,455
c50_none,0,0,10361,170,NaN,0,NaN,35103,5,5,47,0.0152123750106828,455
adaboost_under,146,6861,6062,49,0.0208363065505923,0.748717948717949,0.0405442932518745,43725,4,5,31,0.0152315608919383,456
adaboost_over,0,2,12921,195,0,0,NaN,43725,4,5,31,0.0152315608919383,456
adaboost_smote,57,2732,10191,138,0.0204374327716027,0.292307692307692,0.0382037533512064,43725,4,5,31,0.0152315608919383,456
adaboost_none,0,7,12916,195,0,0,NaN,43725,4,5,31,0.0152315608919383,456
xgboost_under,120,5276,7647,75,0.022238695329874,0.615384615384615,0.0429261312824182,43725,4,5,31,0.0152315608919383,456
xgboost_over,46,1518,11405,149,0.0294117647058824,0.235897435897436,0.0523024445707789,43725,4,5,31,0.0152315608919383,456
xgboost_smote,59,2553,10370,136,0.0225880551301685,0.302564102564103,0.0420377627360171,43725,4,5,31,0.0152315608919383,456
xgboost_none,0,0,12923,195,NaN,0,NaN,43725,4,5,31,0.0152315608919383,456
randomforest_under,129,4754,8169,66,0.0264181855416752,0.661538461538462,0.0508074044899567,43725,4,5,31,0.0152315608919383,456
randomforest_over,0,0,12923,195,NaN,0,NaN,43725,4,5,31,0.0152315608919383,456
randomforest_smote,11,624,12299,184,0.0173228346456693,0.0564102564102564,0.0265060240963855,43725,4,5,31,0.0152315608919383,456
randomforest_none,0,0,12923,195,NaN,0,NaN,43725,4,5,31,0.0152315608919383,456
c50_under,123,6172,6751,72,0.019539316918189,0.630769230769231,0.037904468412943,43725,4,5,31,0.0152315608919383,456
c50_over,11,278,12645,184,0.0380622837370242,0.0564102564102564,0.0454545454545455,43725,4,5,31,0.0152315608919383,456
c50_smote,82,4381,8542,113,0.0183732915079543,0.420512820512821,0.0352082438814942,43725,4,5,31,0.0152315608919383,456
c50_none,0,0,12923,195,NaN,0,NaN,43725,4,5,31,0.0152315608919383,456
adaboost_under,137,4972,3745,60,0.0268154237619886,0.695431472081218,0.0516396532227667,29713,4,4,39,0.0195873859926631,457
adaboost_over,0,1,8716,197,0,0,NaN,29713,4,4,39,0.0195873859926631,457
adaboost_smote,68,1835,6882,129,0.0357330530740935,0.345177664974619,0.0647619047619048,29713,4,4,39,0.0195873859926631,457
adaboost_none,0,2,8715,197,0,0,NaN,29713,4,4,39,0.0195873859926631,457
xgboost_under,126,3879,4838,71,0.0314606741573034,0.639593908629442,0.0599714421703951,29713,4,4,39,0.0195873859926631,457
xgboost_over,46,1076,7641,151,0.0409982174688057,0.233502538071066,0.0697498104624716,29713,4,4,39,0.0195873859926631,457
xgboost_smote,68,1737,6980,129,0.0376731301939058,0.345177664974619,0.0679320679320679,29713,4,4,39,0.0195873859926631,457
xgboost_none,0,0,8717,197,NaN,0,NaN,29713,4,4,39,0.0195873859926631,457
randomforest_under,127,3566,5151,70,0.0343893853235852,0.644670050761421,0.0652956298200514,29713,4,4,39,0.0195873859926631,457
randomforest_over,0,0,8717,197,NaN,0,NaN,29713,4,4,39,0.0195873859926631,457
randomforest_smote,12,283,8434,185,0.0406779661016949,0.0609137055837563,0.0487804878048781,29713,4,4,39,0.0195873859926631,457
randomforest_none,0,0,8717,197,NaN,0,NaN,29713,4,4,39,0.0195873859926631,457
c50_under,116,4515,4202,81,0.0250485856186569,0.588832487309645,0.048053024026512,29713,4,4,39,0.0195873859926631,457
c50_over,7,212,8505,190,0.0319634703196347,0.0355329949238579,0.0336538461538462,29713,4,4,39,0.0195873859926631,457
c50_smote,76,2777,5940,121,0.0266386260077112,0.385786802030457,0.0498360655737705,29713,4,4,39,0.0195873859926631,457
c50_none,0,0,8717,197,NaN,0,NaN,29713,4,4,39,0.0195873859926631,457
adaboost_under,222,6826,6086,89,0.0314982973893303,0.713826366559486,0.0603342845495312,44075,4,3,44,0.0235961429381736,458
adaboost_over,0,3,12909,311,0,0,NaN,44075,4,3,44,0.0235961429381736,458
adaboost_smote,82,2727,10185,229,0.0291918832324671,0.263665594855305,0.0525641025641026,44075,4,3,44,0.0235961429381736,458
adaboost_none,0,4,12908,311,0,0,NaN,44075,4,3,44,0.0235961429381736,458
xgboost_under,190,5347,7565,121,0.0343146108000722,0.610932475884244,0.0649794801641587,44075,4,3,44,0.0235961429381736,458
xgboost_over,84,2113,10799,227,0.0382339553937187,0.270096463022508,0.0669856459330144,44075,4,3,44,0.0235961429381736,458
xgboost_smote,90,2590,10322,221,0.0335820895522388,0.289389067524116,0.0601805416248746,44075,4,3,44,0.0235961429381736,458
xgboost_none,0,1,12911,311,0,0,NaN,44075,4,3,44,0.0235961429381736,458
randomforest_under,212,5376,7536,99,0.0379384395132427,0.681672025723473,0.0718765892524157,44075,4,3,44,0.0235961429381736,458
randomforest_over,0,0,12912,311,NaN,0,NaN,44075,4,3,44,0.0235961429381736,458
randomforest_smote,17,538,12374,294,0.0306306306306306,0.0546623794212219,0.0392609699769053,44075,4,3,44,0.0235961429381736,458
randomforest_none,0,0,12912,311,NaN,0,NaN,44075,4,3,44,0.0235961429381736,458
c50_under,211,7166,5746,100,0.0286024129049749,0.678456591639871,0.0548907388137357,44075,4,3,44,0.0235961429381736,458
c50_over,13,420,12492,298,0.0300230946882217,0.0418006430868167,0.0349462365591398,44075,4,3,44,0.0235961429381736,458
c50_smote,114,3928,8984,197,0.0282038594755072,0.366559485530547,0.0523776705720193,44075,4,3,44,0.0235961429381736,458
c50_none,0,0,12912,311,NaN,0,NaN,44075,4,3,44,0.0235961429381736,458
adaboost_under,107,5384,4599,79,0.0194864323438354,0.575268817204301,0.0376959661793201,33894,4,5,37,0.017613736944592,459
adaboost_over,0,3,9980,186,0,0,NaN,33894,4,5,37,0.017613736944592,459
adaboost_smote,68,2371,7612,118,0.027880278802788,0.365591397849462,0.0518095238095238,33894,4,5,37,0.017613736944592,459
adaboost_none,0,5,9978,186,0,0,NaN,33894,4,5,37,0.017613736944592,459
xgboost_under,110,4112,5871,76,0.0260540028422549,0.591397849462366,0.0499092558983666,33894,4,5,37,0.017613736944592,459
xgboost_over,33,1207,8776,153,0.0266129032258065,0.17741935483871,0.0462833099579243,33894,4,5,37,0.017613736944592,459
xgboost_smote,60,2004,7979,126,0.0290697674418605,0.32258064516129,0.0533333333333333,33894,4,5,37,0.017613736944592,459
xgboost_none,0,0,9983,186,NaN,0,NaN,33894,4,5,37,0.017613736944592,459
randomforest_under,112,4062,5921,74,0.0268327743172017,0.602150537634409,0.0513761467889908,33894,4,5,37,0.017613736944592,459
randomforest_over,0,0,9983,186,NaN,0,NaN,33894,4,5,37,0.017613736944592,459
randomforest_smote,18,422,9561,168,0.0409090909090909,0.0967741935483871,0.0575079872204473,33894,4,5,37,0.017613736944592,459
randomforest_none,0,0,9983,186,NaN,0,NaN,33894,4,5,37,0.017613736944592,459
c50_under,113,5611,4372,73,0.0197414395527603,0.60752688172043,0.0382402707275804,33894,4,5,37,0.017613736944592,459
c50_over,2,249,9734,184,0.00796812749003984,0.010752688172043,0.0091533180778032,33894,4,5,37,0.017613736944592,459
c50_smote,76,3111,6872,110,0.0238468779416379,0.408602150537634,0.0450637414764305,33894,4,5,37,0.017613736944592,459
c50_none,0,0,9983,186,NaN,0,NaN,33894,4,5,37,0.017613736944592,459
adaboost_under,93,5494,5394,65,0.0166457848577054,0.588607594936709,0.0323759791122715,36817,3,3,39,0.0139066192248146,460
adaboost_over,0,0,10888,158,NaN,0,NaN,36817,3,3,39,0.0139066192248146,460
adaboost_smote,47,2372,8516,111,0.0194295163290616,0.29746835443038,0.036476523088863,36817,3,3,39,0.0139066192248146,460
adaboost_none,0,2,10886,158,0,0,NaN,36817,3,3,39,0.0139066192248146,460
xgboost_under,83,4293,6595,75,0.0189670932358318,0.525316455696203,0.0366122629025143,36817,3,3,39,0.0139066192248146,460
xgboost_over,19,1123,9765,139,0.0166374781085814,0.120253164556962,0.0292307692307692,36817,3,3,39,0.0139066192248146,460
xgboost_smote,39,1824,9064,119,0.0209339774557166,0.246835443037975,0.0385947550717467,36817,3,3,39,0.0139066192248146,460
xgboost_none,0,0,10888,158,NaN,0,NaN,36817,3,3,39,0.0139066192248146,460
randomforest_under,95,4357,6531,63,0.0213387241689128,0.60126582278481,0.0412147505422994,36817,3,3,39,0.0139066192248146,460
randomforest_over,0,0,10888,158,NaN,0,NaN,36817,3,3,39,0.0139066192248146,460
randomforest_smote,7,409,10479,151,0.0168269230769231,0.0443037974683544,0.024390243902439,36817,3,3,39,0.0139066192248146,460
randomforest_none,0,0,10888,158,NaN,0,NaN,36817,3,3,39,0.0139066192248146,460
c50_under,100,5656,5232,58,0.0173731758165393,0.632911392405063,0.0338180588434224,36817,3,3,39,0.0139066192248146,460
c50_over,6,202,10686,152,0.0288461538461538,0.0379746835443038,0.0327868852459016,36817,3,3,39,0.0139066192248146,460
c50_smote,68,3523,7365,90,0.0189362294625453,0.430379746835443,0.0362763403574286,36817,3,3,39,0.0139066192248146,460
c50_none,0,0,10888,158,NaN,0,NaN,36817,3,3,39,0.0139066192248146,460
adaboost_under,113,6551,5444,34,0.0169567827130852,0.768707482993197,0.0331816179709294,40473,5,5,47,0.0140340473896178,461
adaboost_over,0,1,11994,147,0,0,NaN,40473,5,5,47,0.0140340473896178,461
adaboost_smote,38,2557,9438,109,0.0146435452793834,0.258503401360544,0.0277169948942378,40473,5,5,47,0.0140340473896178,461
adaboost_none,0,2,11993,147,0,0,NaN,40473,5,5,47,0.0140340473896178,461
xgboost_under,88,5115,6880,59,0.0169133192389006,0.598639455782313,0.0328971962616822,40473,5,5,47,0.0140340473896178,461
xgboost_over,28,1476,10519,119,0.0186170212765957,0.19047619047619,0.0339188370684434,40473,5,5,47,0.0140340473896178,461
xgboost_smote,42,2199,9796,105,0.0187416331994645,0.285714285714286,0.0351758793969849,40473,5,5,47,0.0140340473896178,461
xgboost_none,0,0,11995,147,NaN,0,NaN,40473,5,5,47,0.0140340473896178,461
randomforest_under,82,4804,7191,65,0.0167826442898076,0.557823129251701,0.0325849393999603,40473,5,5,47,0.0140340473896178,461
randomforest_over,0,0,11995,147,NaN,0,NaN,40473,5,5,47,0.0140340473896178,461
randomforest_smote,13,408,11587,134,0.0308788598574822,0.0884353741496599,0.0457746478873239,40473,5,5,47,0.0140340473896178,461
randomforest_none,0,0,11995,147,NaN,0,NaN,40473,5,5,47,0.0140340473896178,461
c50_under,80,5433,6562,67,0.0145111554507528,0.54421768707483,0.0282685512367491,40473,5,5,47,0.0140340473896178,461
c50_over,3,232,11763,144,0.0127659574468085,0.0204081632653061,0.0157068062827225,40473,5,5,47,0.0140340473896178,461
c50_smote,47,3159,8836,100,0.0146600124766064,0.319727891156463,0.0280345958842827,40473,5,5,47,0.0140340473896178,461
c50_none,0,0,11995,147,NaN,0,NaN,40473,5,5,47,0.0140340473896178,461
adaboost_under,139,6657,4969,61,0.020453207769276,0.695,0.0397369925671812,39420,4,5,50,0.0169710806697108,462
adaboost_over,0,0,11626,200,NaN,0,NaN,39420,4,5,50,0.0169710806697108,462
adaboost_smote,52,2422,9204,148,0.021018593371059,0.26,0.0388930441286462,39420,4,5,50,0.0169710806697108,462
adaboost_none,0,5,11621,200,0,0,NaN,39420,4,5,50,0.0169710806697108,462
